Vulnerable IP			Site	
10.2.70.84 - VULNERABLE - got appid			DEWIT	
10.2.50.36 - VULNERABLE - got appid			DEWIT	
10.2.24.47 - VULNERABLE - got appid			DEWIT	
10.2.70.88 - VULNERABLE - got appid			DEWIT	
10.2.70.82 - VULNERABLE - got appid			DEWIT	
10.2.70.85 - VULNERABLE - got appid			DEWIT	
10.2.70.81 - VULNERABLE - got appid			DEWIT	
10.2.70.83 - VULNERABLE - got appid			DEWIT	
10.2.70.87 - VULNERABLE - got appid			DEWIT	
10.2.40.114 - VULNERABLE - got appid			DEWIT	
172.19.5.78 - VULNERABLE - got appid			CNSOU	
172.19.10.10 - VULNERABLE - got appid			CNSOU	
172.19.10.70 - VULNERABLE - got appid			CNSOU	
172.19.15.205 - VULNERABLE - got appid			CNSOU	
172.19.15.108 - VULNERABLE - got appid			CNSOU	
172.19.10.113 - VULNERABLE - got appid			CNSOU	
172.19.10.222 - VULNERABLE - got appid			CNSOU	
172.19.10.116 - VULNERABLE - got appid			CNSOU	
172.19.21.12 - VULNERABLE - got appid			CNSOU	
172.19.20.35 - VULNERABLE - got appid			CNSOU	
172.19.20.31 - VULNERABLE - got appid			CNSOU	
172.19.31.77 - VULNERABLE - got appid			CNSOU	
172.19.31.60 - VULNERABLE - got appid			CNSOU	
172.19.20.34 - VULNERABLE - got appid			CNSOU	
172.19.20.115 - VULNERABLE - got appid			CNSOU	
172.19.22.25 - VULNERABLE - got appid			CNSOU	
172.19.20.119 - VULNERABLE - got appid			CNSOU	
172.19.39.170 - VULNERABLE - got appid			CNSOU	
172.19.31.234 - VULNERABLE - got appid			CNSOU	
172.19.101.31 - VULNERABLE - got appid			CNSOU	
172.19.50.9 - VULNERABLE - got appid			CNSOU	
172.19.154.57 - VULNERABLE - got appid			BDDHA	
172.22.6.24 - VULNERABLE - got appid			CHNEU	
172.22.8.65 - VULNERABLE - got appid			CHNEU	
172.22.8.151 - VULNERABLE - got appid			CHNEU	
172.22.8.244 - VULNERABLE - got appid			CHNEU	
172.22.8.243 - VULNERABLE - got appid			CHNEU	
172.22.20.25 - VULNERABLE - got appid			CHNEU	
172.17.10.49 - VULNERABLE - got appid			BRCWB	
172.17.10.136 - VULNERABLE - got appid			BRCWB	
172.17.10.138 - VULNERABLE - got appid			BRCWB	
172.17.10.137 - VULNERABLE - got appid			BRCWB	
172.17.10.146 - VULNERABLE - got appid			BRCWB	
172.17.10.135 - VULNERABLE - got appid			BRCWB	
172.17.25.10 - VULNERABLE - got appid			BRCWB	
172.16.1.60 - VULNERABLE - got appid			ATSAA	
172.16.1.61 - VULNERABLE - got appid			ATSAA	
172.16.2.10 - VULNERABLE - got appid			ATSAA	
172.16.1.176 - VULNERABLE - got appid			ATSAA	
172.16.6.7 - VULNERABLE - got appid			ATSAA	
172.16.8.16 - VULNERABLE - got appid			ATSAA	
172.16.8.153 - VULNERABLE - got appid			ATSAA	
172.16.10.38 - VULNERABLE - got appid			ATSAA	
172.16.10.50 - VULNERABLE - got appid			ATSAA	
172.16.25.32 - VULNERABLE - got appid			ATSAA	
172.16.25.228 - VULNERABLE - got appid			ATSAA	
172.16.25.134 - VULNERABLE - got appid			ATSAA	
10.1.10.81 - VULNERABLE - got appid			DELIN	
10.1.10.75 - VULNERABLE - got appid			DELIN	
10.1.10.204 - VULNERABLE - got appid			DELIN	
10.1.10.248 - VULNERABLE - got appid			DELIN	
10.1.10.251 - VULNERABLE - got appid			DELIN	
10.1.10.206 - VULNERABLE - got appid			DELIN	
10.1.10.250 - VULNERABLE - got appid			DELIN	
10.1.10.207 - VULNERABLE - got appid			DELIN	
10.1.11.68 - VULNERABLE - got appid			DELIN	
10.1.11.66 - VULNERABLE - got appid			DELIN	
10.1.11.47 - VULNERABLE - got appid			DELIN	
10.1.11.46 - VULNERABLE - got appid			DELIN	
10.1.11.85 - VULNERABLE - got appid			DELIN	
10.1.11.90 - VULNERABLE - got appid			DELIN	
10.1.11.91 - VULNERABLE - got appid			DELIN	
10.1.11.211 - VULNERABLE - got appid			DELIN	
10.1.11.212 - VULNERABLE - got appid			DELIN	
10.1.11.224 - VULNERABLE - got appid			DELIN	
10.1.11.213 - VULNERABLE - got appid			DELIN	
10.1.27.10 - VULNERABLE - got appid			DELIN	
10.1.27.9 - VULNERABLE - got appid			DELIN	
10.1.28.52 - VULNERABLE - got appid			DELIN	
10.1.21.177 - VULNERABLE - got appid			DELIN	
10.1.29.100 - VULNERABLE - got appid			DELIN	
10.1.32.76 - VULNERABLE - got appid			DELIN	
10.1.33.29 - VULNERABLE - got appid			DELIN	
10.1.33.65 - VULNERABLE - got appid			DELIN	
10.1.33.139 - VULNERABLE - got appid			DELIN	
10.1.33.84 - VULNERABLE - got appid			DELIN	
10.1.36.41 - VULNERABLE - got appid			DELIN	
10.1.36.136 - VULNERABLE - got appid			DELIN	
10.1.38.112 - VULNERABLE - got appid			DELIN	
10.1.38.124 - VULNERABLE - got appid			DELIN	
10.1.42.76 - VULNERABLE - got appid			DELIN	
10.1.43.77 - VULNERABLE - got appid			DELIN	
10.1.43.208 - VULNERABLE - got appid			DELIN	
10.1.45.124 - VULNERABLE - got appid			DELIN	
10.1.48.97 - VULNERABLE - got appid			DELIN	
10.1.48.80 - VULNERABLE - got appid			DELIN	
10.1.48.209 - VULNERABLE - got appid			DELIN	
10.1.48.232 - VULNERABLE - got appid			DELIN	
10.1.51.124 - VULNERABLE - got appid			DELIN	
10.1.42.210 - VULNERABLE - got appid			DELIN	
10.1.52.21 - VULNERABLE - got appid			DELIN	
10.1.52.22 - VULNERABLE - got appid			DELIN	
10.1.52.27 - VULNERABLE - got appid			DELIN	
10.1.52.25 - VULNERABLE - got appid			DELIN	
10.1.52.23 - VULNERABLE - got appid			DELIN	
10.1.52.30 - VULNERABLE - got appid			DELIN	
10.1.52.40 - VULNERABLE - got appid			DELIN	
10.1.52.48 - VULNERABLE - got appid			DELIN	
10.1.52.49 - VULNERABLE - got appid			DELIN	
10.1.52.50 - VULNERABLE - got appid			DELIN	
10.1.52.51 - VULNERABLE - got appid			DELIN	
10.1.52.52 - VULNERABLE - got appid			DELIN	
10.1.52.57 - VULNERABLE - got appid			DELIN	
10.1.52.53 - VULNERABLE - got appid			DELIN	
10.1.55.115 - VULNERABLE - got appid			DELIN	
10.1.56.112 - VULNERABLE - got appid			DELIN	
10.1.56.114 - VULNERABLE - got appid			DELIN	
10.1.62.112 - VULNERABLE - got appid			DELIN	
10.1.65.26 - VULNERABLE - got appid			DELIN	
10.1.70.27 - VULNERABLE - got appid			DELIN	
10.1.71.68 - VULNERABLE - got appid			DELIN	
10.1.71.171 - VULNERABLE - got appid			DELIN	
10.1.65.50 - VULNERABLE - got appid			DELIN	
10.1.65.25 - VULNERABLE - got appid			DELIN	
				
